Management_River,Metric,2017_Q1,2017_Q2,2017_Q3,2017_Q4,2018_Q1,2018_Q2,2018_Q3,2018_Q4,2019_Q1,2019_Q2,2019_Q3,2019_Q4,2020_Q1,2020_Q2,2020_Q3,2020_Q4,2021_Q1,2021_Q2,2021_Q3,2021_Q4,2022_Q1,2022_Q2,2022_Q3,2022_Q4
Aniak,Total_Run_Proportion,0.004513411928071212,0.018588456246639153,0.034351773938612204,0.03151931215678142,0.006590936215469308,0.014448814690425818,0.045756749550216115,0.022077843920929267,0.009124984944533811,0.033050973795745134,0.03235379307817572,0.0010638541096619257,0.010901693137657539,0.013869700134766036,0.01685277710798325,0.023212545282389127,0.00361303563693864,0.015260428105929738,0.032231704060496275,0.024280657054133237,0.003968292347826971,0.02249441596233196,0.03448688448686363,0.017614365958740906
Aniak,Within_Quartile_Proportion,0.10486215699070625,0.07012074503062068,0.07988802134806383,0.12036361105878034,0.06983609368119698,0.05520579156834355,0.09708109722843447,0.12793459254645304,0.039940189109063516,0.08153024652532319,0.08933054385308115,0.2679633034773233,0.08830486038952441,0.05692287992352953,0.05727870643570841,0.06854173185046933,0.026433363580405635,0.06938391273899572,0.07742044572512,0.10693821395888814,0.04196739887692684,0.07253762380998954,0.08330179459469803,0.09713593465314173
Big River,Total_Run_Proportion,0.0016545119525042526,0.022159146268547744,0.03168029726073161,0.011244409726800157,0.01350244752676897,0.028261745651246787,0.02070708806785596,0.005752791383453125,0.030235973881417154,0.026575400608713606,0.010807107910558594,0,0.015748415573761918,0.026119176969082104,0.022857863896262112,0.019053355811122503,0.024032016442990835,0.019611247811784964,0.019460607656427216,0.009986766214303281,0.009762411472320095,0.027540114917136142,0.0272564338834865,0.009282330019297581
Big River,Within_Quartile_Proportion,0.038440030485017915,0.0835903651694585,0.07367527128005365,0.04293931771765989,0.14306892975108884,0.10798200912730348,0.04393377697922132,0.03333572899068889,0.13234328846141546,0.06555628213945619,0.029838999859968456,0,0.12756382160432655,0.10719617294289535,0.07768861283053273,0.05626052589107238,0.17582085870210598,0.08916559204174476,0.046744314728579754,0.043984268621789974,0.10324416155576255,0.08880846245967637,0.06583690845170473,0.051188206506857285
E. Fork Kuskokwim,Total_Run_Proportion,3.2395276956730064e-4,7.144724693169502e-4,0.001247854398411332,9.79399971497388e-4,7.559419543694099e-4,9.818633472755017e-4,8.604571541633353e-4,3.1749375695669293e-4,8.920883611287313e-4,8.184764505154133e-4,2.0399273960529878e-4,0,0.0010198011018198595,6.356661135304122e-4,3.539560290041326e-4,2.4163969046351385e-4,0.0015407627548718616,8.471274896318499e-4,4.3196415637442216e-4,1.2738687927793305e-4,2.8353458647587264e-4,7.661544195777903e-4,2.9276460583518334e-4,2.0328376533856367e-5
E. Fork Kuskokwim,Within_Quartile_Proportion,0.007526542385520171,0.0026951857210536175,0.0029019933293024974,0.003740059956065031,0.008009792754325748,0.0037514871952925685,0.001825613171070154,0.0018397826607421525,0.003904683466554087,0.002019020292657268,5.632348061010964e-4,0,0.008260496125158398,0.002608848461060019,0.0012030149895516547,7.135108479786629e-4,0.01127238870114883,0.003851597046388344,0.001037576463875868,5.610443457690413e-4,0.0029985716885383876,0.0024706140919932224,7.071620827091434e-4,1.1210257918010674e-4
George,Total_Run_Proportion,9.793132547527424e-4,0.008152347714689409,0.012645138737896718,0.007606893588129939,5.118024277686304e-4,0.006092697224076175,0.0169454218926643,0.005284780077242917,0.003706135367094759,0.013388359995614997,0.017535428092271776,0,0.001238178079657369,0.005032197469569545,0.009503585559443244,0.016038033535365086,0.0023241765595833548,0.0058572342942640075,0.01685848194069127,0.007541747787268159,0.0023933618252141107,0.007675156216639469,0.014347432719622676,0.005113214561037184
George,Within_Quartile_Proportion,0.022752831316871756,0.030752887056237105,0.029407363801577678,0.029048640930135552,0.005422944650567996,0.02327887652017926,0.035952731925006684,0.03062374153477716,0.016221807304375307,0.033026448713979736,0.04841624981634336,0,0.010029372601200093,0.020652730017845383,0.03230049764843356,0.04735691758989598,0.017003929713956027,0.026630827807979485,0.040494017432260665,0.0332157831108431,0.025311434131251125,0.024750035531386192,0.0346556933499315,0.02819726106700599
Hoholitna,Total_Run_Proportion,0.0032317681597955413,0.027645052886397424,0.04166790761221332,0.01915263551741583,0.005190583425645734,0.02336107266509182,0.04563223550561278,0.011045408018710885,0.02187003674498957,0.03886579450788812,0.0455797679148451,0,0.005587077494957797,0.01919225909237879,0.034505724557969936,0.041182459210775735,0.009608786418951094,0.020554507707537268,0.05082222248460958,0.02061848988794804,0.008161112784827897,0.026006620992955618,0.038105080969077255,0.01831537444953471
Hoholitna,Within_Quartile_Proportion,0.07508514302058569,0.10428470654498684,0.09690232297179992,0.07313866370884117,0.05499826709332711,0.08925759904835379,0.09681691849656932,0.06400488106737329,0.09572546242285092,0.09587426461965949,0.12584816397546,0,0.045255915016858925,0.07876728762421621,0.11727700750110355,0.1216030832391923,0.07029893156376615,0.09345427004230789,0.12207480901768689,0.09080909459042938,0.08630933547726476,0.08386341273829767,0.09204141444291682,0.1010017062121373
