"Year","HUC.Name","HUC.Protection","Total.HUC.Contribution...10%","Closure.Window.Contribution...10%","10%","Rate_10%","Total.HUC.Contribution...20%","Closure.Window.Contribution...20%","20%","Rate_20%","Total.HUC.Contribution...30%","Closure.Window.Contribution...30%","30%","Rate_30%","Total.HUC.Contribution...40%","Closure.Window.Contribution...40%","40%","Rate_40%","Total.HUC.Contribution...50%","Closure.Window.Contribution...50%","50%","Rate_50%"
2017,"Stony River",2.61678909806153,37.0479470451202,0.969466639332313,0.0973832109019385,"9.7%",37.0479470451202,0.969466639332313,0.194766421803877,"19.5%",37.0479470451202,0.969466639332313,0.292149632705815,"29.2%",37.0479470451202,0.969466639332313,0.389532843607754,"39%",37.0479470451202,0.969466639332313,0.486916054509692,"48.7%"
2017,"Holitna River",2.48991813648382,22.9790532126288,0.572159613533514,0.0975100818635162,"9.8%",22.9790532126288,0.572159613533514,0.195020163727032,"19.5%",22.9790532126288,0.572159613533514,0.292530245590549,"29.3%",22.9790532126288,0.572159613533514,0.390040327454065,"39%",22.9790532126288,0.572159613533514,0.487550409317581,"48.8%"
2017,"Kuskokwim Delta",2.99443966599926,20.3378454222647,0.60900451053391,0.0970055603340007,"9.7%",20.3378454222647,0.60900451053391,0.194011120668001,"19.4%",20.3378454222647,0.60900451053391,0.291016681002002,"29.1%",20.3378454222647,0.60900451053391,0.388022241336003,"38.8%",20.3378454222647,0.60900451053391,0.485027801670004,"48.5%"
2017,"Aniak",7.88365208422513,17.7658413470999,1.40059712164077,0.0921163479157749,"9.2%",17.7658413470999,1.40059712164077,0.18423269583155,"18.4%",17.7658413470999,1.40059712164077,0.276349043747325,"27.6%",17.7658413470999,1.40059712164077,0.3684653916631,"36.8%",17.7658413470999,1.40059712164077,0.460581739578874,"46.1%"
2017,"Takotna River",11.2203752829591,1.63290917524068,0.183218537491877,0.0887796247170409,"8.9%",1.63290917524068,0.183218537491877,0.177559249434082,"17.8%",1.63290917524068,0.183218537491877,0.266338874151123,"26.6%",1.63290917524068,0.183218537491877,0.355118498868164,"35.5%",1.63290917524068,0.183218537491877,0.443898123585205,"44.4%"
2017,"North Fork Kuskokwim River",0,0.23361645297643,0,0.1,"10%",0.23361645297643,0,0.2,"20%",0.23361645297643,0,0.3,"30%",0.23361645297643,0,0.4,"40%",0.23361645297643,0,0.5,"50%"
2017,"South Fork Kuskokwim River",0,0.00278734466923535,0,0.1,"10%",0.00278734466923535,0,0.2,"20%",0.00278734466923535,0,0.3,"30%",0.00278734466923535,0,0.4,"40%",0.00278734466923535,0,0.5,"50%"
2017,"Middle Fork Kuskokwim River",0,0,0,0.1,"10%",0,0,0.2,"20%",0,0,0.3,"30%",0,0,0.4,"40%",0,0,0.5,"50%"
2018,"Stony River",18.4019288646715,34.9688579629263,6.4349443671257,0.0815980711353285,"8.2%",34.9688579629263,6.4349443671257,0.163196142270657,"16.3%",34.9688579629263,6.4349443671257,0.244794213405985,"24.5%",34.9688579629263,6.4349443671257,0.326392284541314,"32.6%",34.9688579629263,6.4349443671257,0.407990355676642,"40.8%"
2018,"Kuskokwim Delta",5.26379108576158,26.3593049612691,1.38749874481999,0.0947362089142384,"9.5%",26.3593049612691,1.38749874481999,0.189472417828477,"18.9%",26.3593049612691,1.38749874481999,0.284208626742715,"28.4%",26.3593049612691,1.38749874481999,0.378944835656954,"37.9%",26.3593049612691,1.38749874481999,0.473681044571192,"47.4%"
2018,"Holitna River",2.32813920631493,20.6119317539902,0.479874464343521,0.0976718607936851,"9.8%",20.6119317539902,0.479874464343521,0.19534372158737,"19.5%",20.6119317539902,0.479874464343521,0.293015582381055,"29.3%",20.6119317539902,0.479874464343521,0.39068744317474,"39.1%",20.6119317539902,0.479874464343521,0.488359303968425,"48.8%"
2018,"Aniak",8.25923556671544,15.6675500693668,1.29401986776209,0.0917407644332846,"9.2%",15.6675500693668,1.29401986776209,0.183481528866569,"18.3%",15.6675500693668,1.29401986776209,0.275222293299854,"27.5%",15.6675500693668,1.29401986776209,0.366963057733138,"36.7%",15.6675500693668,1.29401986776209,0.458703822166423,"45.9%"
2018,"Takotna River",0,1.60230618752088,0,0.1,"10%",1.60230618752088,0,0.2,"20%",1.60230618752088,0,0.3,"30%",1.60230618752088,0,0.4,"40%",1.60230618752088,0,0.5,"50%"
2018,"North Fork Kuskokwim River",20.8617024820297,0.790049064926711,0.164817685387068,0.0791382975179703,"7.9%",0.790049064926711,0.164817685387068,0.158276595035941,"15.8%",0.790049064926711,0.164817685387068,0.237414892553911,"23.7%",0.790049064926711,0.164817685387068,0.316553190071881,"31.7%",0.790049064926711,0.164817685387068,0.395691487589852,"39.6%"
2018,"Middle Fork Kuskokwim River",0,0,0,0.1,"10%",0,0,0.2,"20%",0,0,0.3,"30%",0,0,0.4,"40%",0,0,0.5,"50%"
2018,"South Fork Kuskokwim River",0,0,0,0.1,"10%",0,0,0.2,"20%",0,0,0.3,"30%",0,0,0.4,"40%",0,0,0.5,"50%"
2019,"Stony River",41.2928627252934,36.3446260869406,15.0077365581016,0.0587071372747066,"5.9%",36.3446260869406,15.0077365581016,0.117414274549413,"11.7%",36.3446260869406,15.0077365581016,0.17612141182412,"17.6%",36.3446260869406,15.0077365581016,0.234828549098826,"23.5%",36.3446260869406,15.0077365581016,0.293535686373533,"29.4%"
2019,"Holitna River",12.3305574347447,29.7361922568662,3.66663826513899,0.0876694425652553,"8.8%",29.7361922568662,3.66663826513899,0.175338885130511,"17.5%",29.7361922568662,3.66663826513899,0.263008327695766,"26.3%",29.7361922568662,3.66663826513899,0.350677770261021,"35.1%",29.7361922568662,3.66663826513899,0.438347212826277,"43.8%"
2019,"Kuskokwim Delta",24.012664613993,16.535225643096,3.97054827684361,0.075987335386007,"7.6%",16.535225643096,3.97054827684361,0.151974670772014,"15.2%",16.535225643096,3.97054827684361,0.227962006158021,"22.8%",16.535225643096,3.97054827684361,0.303949341544028,"30.4%",16.535225643096,3.97054827684361,0.379936676930035,"38%"
2019,"Aniak",8.50291668311984,16.1785582294514,1.37564932678028,0.0914970833168802,"9.1%",16.1785582294514,1.37564932678028,0.18299416663376,"18.3%",16.1785582294514,1.37564932678028,0.27449124995064,"27.4%",16.1785582294514,1.37564932678028,0.365988333267521,"36.6%",16.1785582294514,1.37564932678028,0.457485416584401,"45.7%"
2019,"Takotna River",0,0.855671781337356,0,0.1,"10%",0.855671781337356,0,0.2,"20%",0.855671781337356,0,0.3,"30%",0.855671781337356,0,0.4,"40%",0.855671781337356,0,0.5,"50%"
2019,"North Fork Kuskokwim River",64.5222883168945,0.349726002308441,0.225651219528601,0.0354777116831055,"3.5%",0.349726002308441,0.225651219528601,0.070955423366211,"7.1%",0.349726002308441,0.225651219528601,0.106433135049316,"10.6%",0.349726002308441,0.225651219528601,0.141910846732422,"14.2%",0.349726002308441,0.225651219528601,0.177388558415527,"17.7%"
2019,"Middle Fork Kuskokwim River",0,0,0,0.1,"10%",0,0,0.2,"20%",0,0,0.3,"30%",0,0,0.4,"40%",0,0,0.5,"50%"
2019,"South Fork Kuskokwim River",0,0,0,0.1,"10%",0,0,0.2,"20%",0,0,0.3,"30%",0,0,0.4,"40%",0,0,0.5,"50%"
